id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
445,Bubér-bhái,Buber-bhai,,NOUN,n.m.,,,Father's sister's son,,Father's sister's son,,,mainDictionary_repaired.csv,19,original,,Bubeːr-bhái,Bubए (lengthened)r-bhái,low,unmapped_chars_sample='Bubr-b' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 3, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
446,Budá,Buda,,NOUN,n.m.,,,A bar,,A bar,,"f. -í, pl. -é",mainDictionary_repaired.csv,19,original,,Budá,Budá,low,unmapped_chars_sample='Budá' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
447,Buddh,Buddh,,NOUN,n.m.,,S. Budha,(1) Wednesday; (2) Wisdom,,(1) Wednesday; (2) Wisdom,,,mainDictionary_repaired.csv,19,original,,Buddh,Buddh,low,unmapped_chars_sample='Buddh' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}]"
448,Búg,Bug,,NOUN,n.m.,,,"A cover, especially for a gun, a pillow or bedding",,"A cover, especially for a gun, a pillow or bedding",,,mainDictionary_repaired.csv,19,original,,Búg,Búg,low,unmapped_chars_sample='Búg' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'g', 'pos': 2}]"
449,Bugchá or -u,Bugcha or -u,,NOUN,n.m.,,,A bundle,,A bundle,,"f. -í, pl. -é",mainDictionary_repaired.csv,19,original,,Bugt͡ʃá or -u,Bugच/छá ओr -u,low,unmapped_chars_sample='Bugá r' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 3, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 5}, {'matched': None, 'char': ' ', 'pos': 6}]"
450,Buglí,Bugli,,N.F.,n.f.,,,Wrapping up the body in a sheet,,Wrapping up the body in a sheet,,"-páṇí, v.s. re. To wrap up one's body in a sheet",mainDictionary_repaired.csv,19,original,,Buɡlí,Buगल/ग्लí,low,unmapped_chars_sample='Buí' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': 'gl', 'ipa': 'ɡl', 'deva': 'गल/ग्ल', 'pos': 2, 'len': 2, 'note': ""consonant cluster 'g' + 'l'""}, {'matched': None, 'char': 'í', 'pos': 4}]"
451,Bujhṇu,Bujhnu,,V.T.,v.t. re.,,H. bújhṇá,"To understand, to know",,"To understand, to know",,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Bujhṇu,Bujhṇu,low,unmapped_chars_sample='Bujhṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'j', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
452,Bujhṇwálá,Bujhnwala,,NOUN,n.m.,,,One who understands or knows,,One who understands or knows,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Bujhṇwálá,Bujhṇwálá,low,unmapped_chars_sample='Bujhṇw' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'j', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'w', 'pos': 5}]"
453,Bulák,Bulak,,NOUN,n.m.,,,See Blá'k,,See Blá'k,,,mainDictionary_repaired.csv,20,original,,Bulák,Bulák,low,unmapped_chars_sample='Bulák' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}]"
454,Buláṇu,Bulanu,,V.T.,v.t. re.,,H. buláná,"To call, to invite",,"To call, to invite",,,mainDictionary_repaired.csv,20,original,,Buláṇu,Buláṇu,low,unmapped_chars_sample='Buláṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
455,Buňjá,Bunja,,ADJ.,adj.,,,52,,52,,,mainDictionary_repaired.csv,20,original,,Buňjá,Buňjá,low,unmapped_chars_sample='Buňjá' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
456,Buṇ-ṇu,Bun-nu,,V.T.,v.t. re.,,H. bunná,To weave,,To weave,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Buṇ-ṇu,Buṇ-ṇu,low,unmapped_chars_sample='Buṇ-ṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ṇ', 'pos': 2}, {'matched': None, 'char': '-', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
457,Burá or -u,Bura or -u,,ADJ.,adj.,,,"Bad, wicked, not good",,"Bad, wicked, not good",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,Burá or -u,Burá ओr -u,low,unmapped_chars_sample='Burá r' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
458,Burá-bhájaṇá,Bura-bhajana,,V.I.,v.i. re.,,,To cease unhappiness,,To cease unhappiness,,,mainDictionary_repaired.csv,20,original,,Burá-bhájaṇá,Burá-bhájअṇá,low,unmapped_chars_sample='Burá-b' count=11,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'b', 'pos': 5}]"
459,Burá-lágná,Bura-lagna,,V.I.,v.i. re.,,,To be unhappy,,To be unhappy,,"-mánná, v.i. re. To be displeased",mainDictionary_repaired.csv,20,original,,Burá-lágná,Burá-lágná,low,unmapped_chars_sample='Burá-l' count=10,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'l', 'pos': 5}]"
460,Burí-ghálṇí,Buri-ghalni,,V.T.,v.t. re.,,,"To harass, to put to trouble, to plague",,"To harass, to put to trouble, to plague",,,mainDictionary_repaired.csv,20,original,,Burí-ghálṇí,Burí-ghálṇí,low,unmapped_chars_sample='Burí-g' count=11,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'g', 'pos': 5}]"
461,Burí-hoṇí,Buri-honi,,V.I.,v.i. ir.,,,To be in trouble,,To be in trouble,,,mainDictionary_repaired.csv,20,original,,Burí-hoṇí,Burí-hओṇí,low,unmapped_chars_sample='Burí-h' count=8,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'h', 'pos': 5}]"
462,Burí-lágṇí,Buri-lagni,,V.I.,v.i. re.,,,"To pine in love, to feel unpleasant",,"To pine in love, to feel unpleasant",,,mainDictionary_repaired.csv,20,original,,Burí-lágṇí,Burí-lágṇí,low,unmapped_chars_sample='Burí-l' count=10,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'l', 'pos': 5}]"
463,Bwá'l,Bwa'l,,NOUN,n.m.,,S. Udgāra; H. ubál,(1) Overflowing; (2) Boiling,,(1) Overflowing; (2) Boiling,,"-jáṇu or -dewṇu, v.s. re. To overflow",mainDictionary_repaired.csv,20,original,,Bwá'l,Bwá'l,low,unmapped_chars_sample='Bwá'l' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}]"
464,Bwálṇu,Bwalnu,,V.T.,v.t. re.,,H. ubálná,To boil,,To boil,,,mainDictionary_repaired.csv,20,original,,Bwálṇu,Bwálṇu,low,unmapped_chars_sample='Bwálṇu' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
465,Bwárá,Bwara,,NOUN,n.m.,,,See Buárá,,See Buárá,,pl. -é,mainDictionary_repaired.csv,20,original,,Bwárá,Bwárá,low,unmapped_chars_sample='Bwárá' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
466,Byá,Bya,,NOUN,n.m.,,S. Viváha,Marriage,,Marriage,,"Also byáh. -áhuňdá, m., f. -í huňdí, pl. -é huňde. Married.",mainDictionary_repaired.csv,20,original,,Byá,Byá,low,unmapped_chars_sample='Byá' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}]"
467,Byáj,Byaj,,NOUN,n.m.,,H. byáj,Interest,,Interest,,,mainDictionary_repaired.csv,20,original,,Byáj,Byáj,low,unmapped_chars_sample='Byáj' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}]"
468,Byálí,Byali,,N.F.,n.f.,,,Dinner,,Dinner,,"-cháṇṇí, v.i. re. To cook the dinner. -é, adv. In the evening. Byále re pahre áyá Ludro-Shib 'Ludlow Sahib came in the evening.'",mainDictionary_repaired.csv,20,original,,Byálí,Byálí,low,unmapped_chars_sample='Byálí' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
469,Byálke-bakté,Byalke-bakte,,ADV.,adv.,,,In the evening time,,In the evening time,,,mainDictionary_repaired.csv,20,original,,Byálke-bakteː,Byálkए-bअktए (lengthened),low,unmapped_chars_sample='Byálk-' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 5, 'len': 1, 'note': 'Mid-front vowel'}]"
470,Byálkú or byálkí,Byalku or byalki,,N.F.,n.f.,,,The evening,,The evening,,,mainDictionary_repaired.csv,20,original,,Byálkú or byálkí,Byálkú ओr byálkí,low,unmapped_chars_sample='Byálkú' count=15,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'k', 'pos': 4}, {'matched': None, 'char': 'ú', 'pos': 5}]"
471,Byálí,Byali,,N.F.,n.f.,,,Supper,,Supper,,,mainDictionary_repaired.csv,20,original,,Byálí,Byálí,low,unmapped_chars_sample='Byálí' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
472,Byáltí,Byalti,,N.F.,n.f.,,,Evening,,Evening,,,mainDictionary_repaired.csv,20,original,,Byáltí,Byáltí,low,unmapped_chars_sample='Byáltí' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': 'í', 'pos': 5}]"
473,Byáňhdá,Byanhda,,NOUN,n.m.,,,A tax levied at a chief's wedding and on his children's marriages,,A tax levied at a chief's wedding and on his children's marriages,,Also Byáoḷ or Byáoḷi,mainDictionary_repaired.csv,20,original,,Byáňhdá,Byáňhdá,low,unmapped_chars_sample='Byáňhd' count=7,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'ň', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 'd', 'pos': 5}]"
474,Byáoḷ or byáoḷi,Byaol or byaoli,,N.F.,n.f.,,,See Byáňhdá,,See Byáňhdá,,,mainDictionary_repaired.csv,20,original,,Byáoḷ or byáoḷi,Byáओḷ ओr byáओḷi,low,unmapped_chars_sample='Byáḷ r' count=12,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 3, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'ḷ', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
475,Byáshí,Byashi,,ADJ.,adj.,,,82,,82,,"-wáň, 82nd",mainDictionary_repaired.csv,20,original,,Byáshí,Byáshí,low,unmapped_chars_sample='Byáshí' count=6,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 's', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 'í', 'pos': 5}]"
476,Byóḷ,Byol,,NOUN,n.m.,,,"A kind of tree, the leaves of which are given to cattle as fodder",,"A kind of tree, the leaves of which are given to cattle as fodder",,,mainDictionary_repaired.csv,20,original,,Byoːḷ,Byओ (lengthened)ḷ,low,unmapped_chars_sample='Byḷ' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 2, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}, {'matched': None, 'char': 'ḷ', 'pos': 3}]"
477,Byórá or -u,Byora or -u,,ADJ.,adj.,,,"(1) Reversed, upset; (2) contrary, left",,"(1) Reversed, upset; (2) contrary, left",,"m.; f. -í, pl. -é. Also beorá.",mainDictionary_repaired.csv,20,original,,Byoːrá or -u,Byओ (lengthened)rá ओr -u,low,unmapped_chars_sample='Byrá r' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 2, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
478,Byórá,Byora,,NOUN,n.m.,,,Detailed account,,Detailed account,,,mainDictionary_repaired.csv,20,original,,Byoːrá,Byओ (lengthened)rá,low,unmapped_chars_sample='Byrá' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'y', 'pos': 1}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 2, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
479,Cha'b,Cha'b,,NOUN,n.m.,,,A food made of rice and sugar,,A food made of rice and sugar,,,mainDictionary_repaired.csv,20,original,,t͡ʃa'b,च/छअ'b,low,unmapped_chars_sample=''b' count=2,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'b', 'pos': 4}]"
480,Chabhokṇu,Chabhoknu,,V.T.,v.t. re.,,,To dip,,To dip,,,mainDictionary_repaired.csv,20,original,,t͡ʃabhokṇu,च/छअbhओkṇu,low,unmapped_chars_sample='bhkṇu' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'k', 'pos': 6}]"
481,Chabṇu,Chabnu,,V.T.,v.t. re.,,,To chew,,To chew,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,t͡ʃabṇu,च/छअbṇu,low,unmapped_chars_sample='bṇu' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
482,Chabútrá,Chabutra,,NOUN,n.m.,,,"A raised bank or terrace, open or covered",,"A raised bank or terrace, open or covered",,,mainDictionary_repaired.csv,20,original,,t͡ʃabútrá,च/छअbútrá,low,unmapped_chars_sample='bútrá' count=5,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}, {'matched': None, 'char': 't', 'pos': 5}, {'matched': None, 'char': 'r', 'pos': 6}]"
483,Chabútrá-wazír or Shrí-wazír,Chabutra-wazir or Shri-wazir,,NOUN,n.m.,,,"The prime-minister, chief minister",,"The prime-minister, chief minister",,The former form was used in Kullú and the latter in Bashahr,mainDictionary_repaired.csv,20,original,,t͡ʃabútrá-wazír or Shrí-wazír,च/छअbútrá-wअzír ओr Shrí-wअzír,low,unmapped_chars_sample='bútrá-' count=22,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}, {'matched': None, 'char': 't', 'pos': 5}, {'matched': None, 'char': 'r', 'pos': 6}]"
484,Chachá,Chacha,,NOUN,n.m.,,,Uncle,,Uncle,,"f. -í, Aunt; pl. -é",mainDictionary_repaired.csv,20,original,,t͡ʃat͡ʃá,च/छअच/छá,low,unmapped_chars_sample='á' count=1,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 3, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 5}]"
485,Chachéṇu,Chachenu,,V.I.,v.i. re.,,,To cry or scream,,To cry or scream,,"f. -í, pl. -é",mainDictionary_repaired.csv,20,original,,t͡ʃat͡ʃeːṇu,च/छअच/छए (lengthened)ṇu,low,unmapped_chars_sample='ṇu' count=2,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 3, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 5, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 'ṇ', 'pos': 6}, {'matched': None, 'char': 'u', 'pos': 7}]"
486,Chádar,Chadar,,NOUN,n.m.,,,A sheet of cloth,,A sheet of cloth,,,mainDictionary_repaired.csv,20,original,,t͡ʃádar,च/छádअr,low,unmapped_chars_sample='ádr' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 5}]"
487,Chádr,Chadr,,N.F.,n.f.,,H. chaddar,A scarf,,A scarf,,,mainDictionary_repaired.csv,21,original,,t͡ʃádr,च/छádr,low,unmapped_chars_sample='ádr' count=3,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}]"
488,Cháer,Chaer,,N.F.,n.f.,,,See Chár,,See Chár,,,mainDictionary_repaired.csv,21,original,,t͡ʃáer,च/छáएr,low,unmapped_chars_sample='ár' count=2,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 3, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 'r', 'pos': 4}]"
489,Cháetu or cháethu or -á,Chaetu or chaethu or -a,,ADJ.,adj.,,,"(1) Thin, straight; (2) Easy",,"(1) Thin, straight; (2) Easy",,,mainDictionary_repaired.csv,21,original,,t͡ʃáetu or t͡ʃáet̪ʰu or -á,च/छáएtu ओr च/छáएथu ओr -á,low,unmapped_chars_sample='átu r ' count=13,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 3, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}, {'matched': None, 'char': ' ', 'pos': 6}]"
490,Chaftá or -u,Chafta or -u,,ADJ.,adj.,,,"Thin, straight",,"Thin, straight",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,21,original,,t͡ʃaftá or -u,च/छअftá ओr -u,low,unmapped_chars_sample='ftá r ' count=8,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'f', 'pos': 3}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}, {'matched': None, 'char': ' ', 'pos': 6}]"
491,Chagarṇu,Chagarnu,,V.T.,v.t. re.,,,See Chagrṇu,,See Chagrṇu,,,mainDictionary_repaired.csv,21,original,,t͡ʃagarṇu,च/छअgअrṇu,low,unmapped_chars_sample='grṇu' count=4,"[{'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 0, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 2, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 5}, {'matched': None, 'char': 'ṇ', 'pos': 6}]"
